Empresa,Salario,Classe,Sede,Tamanho,Fundação,Tipo,Setor,Moeda,Valor_moeda
Gerdau,6500,Pleno,"Porto Alegre, Brasil",10000,1903.0,Empresa: privada,Bancos e cooperativas de crédito,R$R$,1
Grupo Enforce,9000,Pleno,"São Paulo, Brasil",350,,Subsidiária ou segmento de negócio,Desconhecido/Não se aplica,R$R$,1
Paraná Banco,8000,Pleno,"São Paulo, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Fundação Zerbini,7500,Pleno,"Barueri, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Trizy,6000,Pleno,"Porto Alegre, Brasil",350,1996.0,Empresa: privada,Empréstimos,R$R$,1
F2 Data,6500,Pleno,"New York, NY",10000,1923.0,Empresa: capital aberto (NLSN),Soluções de software e redes corporativas,R$R$,1
Rebel (Brazil),5500,Pleno,"Recife, Brasil",350,,Autônomo,Serviços de TI,R$R$,1
Oncase,3500,Pleno,"Campinas, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Vert Solucoes em TI,7000,Pleno,"Curitiba, Brasil",750,1979.0,Empresa: privada,Bancos e cooperativas de crédito,R$R$,1
Neurotech,4500,Pleno,"São Paulo, Brasil",2500,1978.0,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Ideia Big Data,9000,Pleno,"Recife, Brasil",350,,Autônomo,Serviços de TI,R$R$,1
PUC Minas,6500,Pleno,"São Paulo, Brasil",125,2016.0,Empresa: privada,Empréstimos,R$R$,1
Indra,8000,Pleno,"São Paulo, Brasil",350,,Subsidiária ou segmento de negócio,Desconhecido/Não se aplica,R$R$,1
Stone,6000,Pleno,"Barueri, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Deloitte,8000,Pleno,"New York, NY",10000,1923.0,Empresa: capital aberto (NLSN),Soluções de software e redes corporativas,R$R$,1
StatSoft South America,6500,Pleno,"Curitiba, Brasil",750,1979.0,Empresa: privada,Bancos e cooperativas de crédito,R$R$,1
Universidade de Brasília (UBN),13500,Pleno,"São José do Rio Prêto, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Jeitto Meios de Pagamento,8500,Pleno,"Waukesha, WI",125,,Empresa: privada,Serviços de saúde e hospitais,R$R$,1
Creditas,8000,Pleno,"Rio de Janeiro, Brasil",25,,Empresa: privada,Hardware e software,R$R$,1
Luizalabs,10500,Pleno,"Vitória, Brasil",2500,2012.0,Empresa: privada,Processamento de transações financeiras,R$R$,1
Netshoes,6500,Pleno,"BRASILIA, Brasil",10000,,Empresa: capital aberto (BBAS3),Bancos e cooperativas de crédito,R$R$,1
CI&T,9500,Pleno,"Madrid, Espanha",10000,1993.0,Empresa: capital aberto ( IDR.MC ),Serviços de TI,R$R$,1
Universidade Federal do Rio de Janeiro (UFRJ),22000,Pleno,"São Paulo, Brasil",7500,2012.0,Empresa: capital aberto (STNE),Processamento de transações financeiras,R$R$,1
Xerpa,7500,Pleno,"Brasília, Brasil",2500,,Faculdade/Universidade,Faculdades e universidades,R$R$,1
Zoox Smart Data,7500,Pleno,"São Paulo, Brasil",2500,2014.0,Subsidiária ou segmento de negócio,Hardware e software,R$R$,1
Freelancer,6500,Pleno,"São Paulo, Brasil",2500,2000.0,Empresa: privada,Lojas de artigos esportivos,R$R$,1
ADP,8500,Pleno,"Campinas, Brasil",2500,1995.0,Empresa: privada,Serviços de TI,R$R$,1
EloGroup,8500,Pleno,"Rio de Janeiro, Brasil",750,2010.0,Empresa: privada,Serviços de TI,R$R$,1
Porto Seguro Seguros,7500,Pleno,"São Paulo, Brasil",125,2015.0,Empresa: privada,Processamento de transações financeiras,R$R$,1
Agi,5500,Pleno,"Rio de Janeiro, Brasil",125,2008.0,Empresa: privada,Soluções de software e redes corporativas,R$R$,1
Embedded UFCG,6500,Pleno,"Waukesha, WI",125,,Empresa: privada,Serviços de saúde e hospitais,R$R$,1
NeoGrid,7500,Pleno,"BRASILIA, Brasil",10000,,Empresa: capital aberto (BBAS3),Bancos e cooperativas de crédito,R$R$,1
C.A Brasil,7000,Pleno,"São Paulo, Brasil",2500,2014.0,Subsidiária ou segmento de negócio,Hardware e software,R$R$,1
Dom Rock,4000,Pleno,"Rio de Janeiro, Brasil",750,2010.0,Empresa: privada,Serviços de TI,R$R$,1
Companhia de Planejamento do Distrito Federal (Codeplan),9000,Pleno,"Sydney, Austrália",750,2010.0,Empresa: capital aberto (ASX FLN),Recrutamento e terceirização,R$R$,1
Neon Pagamentos,7500,Pleno,"Roseland, NJ",10000,1949.0,Empresa: capital aberto (ADP),Consultoria,R$R$,1
"Realize Crédito, Financiamento e Investimento",5500,Pleno,"Rio de Janeiro, Brasil",350,,Empresa: privada,Consultoria,R$R$,1
Mais FM,10500,Pleno,"Campinas, Brasil",2500,1999.0,Empresa: privada,Bancos e cooperativas de crédito,R$R$,1
Dadalto,13500,Pleno,"Campina Grande, Brasil",125,,Faculdade/Universidade,Desconhecido/Não se aplica,R$R$,1
iFood,7000,Pleno,"Joinville, Brasil",750,,Empresa: privada,Hardware e software,R$R$,1
B3,5000,Pleno,"Barueri, Brasil",25,2013.0,Empresa: privada,De US$ 1 a US$ 5 milhões,R$R$,1
iCarros,5000,Junior,"São José dos Campos, Brasil",10000,,Empresa: capital aberto,Desconhecido/Não se aplica,R$R$,1
Syngenta,3500,Junior,"São Paulo, Brasil",10000,,Faculdade/Universidade,Desconhecido/Não se aplica,R$R$,1
Oncase,2500,Junior,"Irving, TX",10000,1872.0,Empresa: capital aberto (KMB),Fabricação de produtos para o consumidor,R$R$,1
GetNinjas,5500,Junior,"Recife, Brasil",25,2007.0,Empresa: privada,Serviços de TI,R$R$,1
Zallpy Group,11500,Senior,"Londres, Reino Unido",125,,Empresa: capital aberto,Desconhecido/Não se aplica,R$R$,1
iFood,11500,Senior,"São José dos Campos, Brasil",10000,,Empresa: capital aberto,Desconhecido/Não se aplica,R$R$,1
Sinch,8500,Senior,"Irving, TX",10000,1872.0,Empresa: capital aberto (KMB),Fabricação de produtos para o consumidor,R$R$,1
Allianz,14000,Senior,"Sapiranga, Brasil",25,,Prestação de serviço,Desconhecido/Não se aplica,R$R$,1
AUTOGLASS (Brazil),7000,Senior,"São Paulo, Brasil",25,2008.0,Empresa: privada,Internet,R$R$,1
americanas s.a.,10500,Senior,"São Paulo, Brasil",125,2011.0,Empresa: privada,Serviços de TI,R$R$,1
EY (Ernst & Young),7000,Senior,"Massy, França",10000,1958.0,Empresa: privada,Lojas de artigos gerais e grandes lojas,R$R$,1
Stefanini,12500,Senior,"Bangalore, Índia",10000,1981.0,Empresa: capital aberto (INFY),Serviços de TI,R$R$,1
Meta IT,9000,Senior,"Porto Alegre, Brasil",350,,Empresa: privada,Serviços de TI,R$R$,1
iFood,9000,Senior,"Osasco, Brasil",2500,2011.0,Empresa: privada,Internet,R$R$,1
Profectum Tecnologia,10500,Senior,"Estocolmo, Suécia",2500,2008.0,Empresa: capital aberto (SINCH.ST),Soluções de software e redes corporativas,R$R$,1
Suzano,12500,Senior,"Osasco, Brasil",10000,1943.0,Empresa: capital aberto (BBD),Bancos e cooperativas de crédito,R$R$,1
Engesoftware Tecnologia,12500,Senior,"Rio de Janeiro, Brasil",10000,1929.0,Empresa: privada,Outras lojas varejistas,R$R$,1
Diebold Nixdorf,9500,Senior,"Jaguariúna, Brasil",10000,1987.0,Subsidiária ou segmento de negócio,Serviços de TI,R$R$,1
Revelo,6000,Senior,"São Paulo, Brasil",2500,1990.0,Empresa: privada,Serviços de TI,R$R$,1
Tivit,10500,Senior,"Osasco, Brasil",2500,2011.0,Empresa: privada,Internet,R$R$,1
